,vocals,accompaniment,drums,bass,other,MIX
A Classic Education - NightOwl (35),0,1686,26,666,1000,1686
A Classic Education - NightOwl (36),0,1499,27,565,893,1499
A Classic Education - NightOwl (37),0,2505,28,1532,887,2505
A Classic Education - NightOwl (38),0,2448,38,1584,881,2448
A Classic Education - NightOwl (39),0,2326,27,1435,868,2326
A Classic Education - NightOwl (40),0,2021,28,1086,920,2021
A Classic Education - NightOwl (41),0,2409,33,1406,991,2408
A Classic Education - NightOwl (42),0,2006,25,1326,809,2006
A Classic Education - NightOwl (43),0,2663,31,1654,972,2663
A Classic Education - NightOwl (44),48,2384,43,1440,837,2436
A Classic Education - NightOwl (45),110,1101,40,905,150,1206
A Classic Education - NightOwl (46),125,1091,40,960,95,1212
A Classic Education - NightOwl (47),91,928,51,795,87,1023
A Classic Education - NightOwl (48),163,959,44,777,107,1106
A Classic Education - NightOwl (49),196,1136,42,1030,101,1322
A Classic Education - NightOwl (50),43,1196,60,1045,78,1231
A Classic Education - NightOwl (51),157,1153,46,1003,101,1318
A Classic Education - NightOwl (52),130,1051,51,946,91,1178
A Classic Education - NightOwl (53),86,1045,53,886,96,1127
A Classic Education - NightOwl (54),202,994,44,831,101,1207
A Classic Education - NightOwl (55),185,1327,46,1179,94,1517
A Classic Education - NightOwl (56),44,457,21,420,30,505
ANiMAL - Clinic A (0),0,112,0,0,112,112
ANiMAL - Clinic A (1),0,135,0,0,135,135
ANiMAL - Clinic A (2),0,175,0,0,175,175
ANiMAL - Clinic A (3),226,371,118,95,156,595
ANiMAL - Clinic A (4),273,307,69,125,125,575
ANiMAL - Clinic A (5),222,377,70,134,170,603
ANiMAL - Clinic A (6),179,467,90,134,251,659
ANiMAL - Clinic A (7),190,315,60,108,150,502
ANiMAL - Clinic A (8),271,382,81,138,167,664
ANiMAL - Clinic A (9),201,526,69,185,263,725
ANiMAL - Clinic A (10),227,529,70,184,282,766
ANiMAL - Clinic A (11),273,473,91,174,207,747
ANiMAL - Clinic A (12),245,489,48,175,261,734
ANiMAL - Clinic A (13),218,554,92,193,262,777
ANiMAL - Clinic A (14),201,526,89,182,258,731
ANiMAL - Clinic A (15),191,626,74,349,196,813
ANiMAL - Clinic A (16),68,1457,129,1208,102,1526
ANiMAL - Clinic A (17),132,1051,118,892,60,1179
ANiMAL - Clinic A (18),98,1520,152,1318,53,1616
ANiMAL - Clinic A (19),119,1459,108,1242,90,1575
ANiMAL - Clinic A (20),159,1454,140,1173,92,1608
ANiMAL - Clinic A (21),227,1540,161,1315,83,1758
ANiMAL - Clinic A (22),217,471,94,171,204,687
ANiMAL - Clinic A (23),247,519,92,200,237,765
ANiMAL - Clinic A (24),152,388,61,174,155,538
ANiMAL - Clinic A (25),238,421,82,175,154,661
ANiMAL - Clinic A (26),303,480,70,187,223,782
ANiMAL - Clinic A (27),141,340,72,183,89,486
ANiMAL - Clinic A (28),264,437,92,177,168,692
ANiMAL - Clinic A (29),230,372,50,174,154,604
ANiMAL - Clinic A (30),194,506,95,193,212,697
ANiMAL - Clinic A (31),150,562,97,180,281,722
ANiMAL - Clinic A (32),245,481,51,176,252,722
ANiMAL - Clinic A (33),274,524,69,140,317,784
ANiMAL - Clinic A (34),127,1272,145,925,184,1393
ANiMAL - Clinic A (35),110,1214,108,1039,69,1315
ANiMAL - Clinic A (36),107,1171,109,1022,58,1278
ANiMAL - Clinic A (37),96,1673,184,1332,74,1763
ANiMAL - Clinic A (38),152,1165,107,992,87,1315
ANiMAL - Clinic A (39),145,1561,107,1348,90,1703
ANiMAL - Clinic A (40),201,1060,73,894,89,1253
ANiMAL - Clinic A (41),243,175,15,120,44,420
ANiMAL - Clinic A (42),164,161,116,20,25,326
ANiMAL - Clinic A (43),203,263,126,27,109,466
ANiMAL - Clinic A (44),215,441,128,38,270,666
ANiMAL - Clinic A (45),204,458,207,29,225,665
ANiMAL - Clinic A (46),189,402,152,62,196,591
ANiMAL - Clinic A (47),200,652,149,193,300,838
ANiMAL - Clinic A (48),152,626,178,180,261,784
ANiMAL - Clinic A (49),180,593,131,177,269,775
ANiMAL - Clinic A (50),233,615,144,188,285,837
ANiMAL - Clinic A (51),200,622,132,172,318,817
ANiMAL - Clinic A (52),140,666,97,291,277,810
ANiMAL - Clinic A (53),74,1420,108,1184,105,1497
ANiMAL - Clinic A (54),131,1298,140,1118,74,1420
ANiMAL - Clinic A (55),99,1469,149,1270,61,1567
ANiMAL - Clinic A (56),124,1462,112,1229,94,1584
ANiMAL - Clinic A (57),144,1269,139,987,95,1411
ANiMAL - Clinic A (58),144,1706,124,1505,103,1838
ANiMAL - Clinic A (59),0,1608,261,980,372,1608
ANiMAL - Clinic A (60),0,1707,171,1083,481,1706
ANiMAL - Clinic A (61),0,1948,184,1275,467,1948
ANiMAL - Clinic A (62),0,1799,268,996,517,1798
ANiMAL - Clinic A (63),0,1521,151,923,445,1520
ANiMAL - Clinic A (64),164,1785,205,1168,438,1941
ANiMAL - Clinic A (65),0,1844,277,1201,369,1844
ANiMAL - Clinic A (66),0,1628,167,990,499,1627
ANiMAL - Clinic A (67),0,1760,199,1122,461,1760
ANiMAL - Clinic A (68),0,1950,225,1150,531,1950
ANiMAL - Clinic A (69),98,1735,236,1063,460,1826
ANiMAL - Clinic A (70),157,2066,175,1395,484,2198
ANiMAL - Clinic A (71),32,2204,182,1574,438,2230
ANiMAL - Clinic A (72),0,1510,109,952,451,1510
ANiMAL - Clinic A (73),0,1557,110,1040,444,1557
ANiMAL - Clinic A (74),0,2223,190,1374,581,2222
ANiMAL - Clinic A (75),69,1406,93,905,453,1462
ANiMAL - Clinic A (76),141,2008,125,1322,526,2143
ANiMAL - Clinic A (77),77,1429,76,920,421,1492
ANiMAL - Clinic A (78),0,272,1,0,270,272
ANiMAL - Clinic A (79),0,125,0,0,125,125
ANiMAL - Easy Tiger (0),0,241,241,0,0,241
ANiMAL - Easy Tiger (1),0,215,215,0,0,215
ANiMAL - Easy Tiger (2),9,350,222,130,3,359
ANiMAL - Easy Tiger (3),12,518,228,257,27,529
ANiMAL - Easy Tiger (4),3,666,227,419,26,670
ANiMAL - Easy Tiger (5),8,516,223,270,15,524
ANiMAL - Easy Tiger (6),10,570,212,337,27,581
ANiMAL - Easy Tiger (7),13,574,225,342,26,586
ANiMAL - Easy Tiger (8),207,663,413,235,26,868
ANiMAL - Easy Tiger (9),262,662,301,362,15,924
ANiMAL - Easy Tiger (10),196,591,325,275,20,791
ANiMAL - Easy Tiger (11),374,682,382,301,25,1053
ANiMAL - Easy Tiger (12),253,773,241,166,392,1027
ANiMAL - Easy Tiger (13),224,717,345,354,27,944
ANiMAL - Easy Tiger (14),241,675,292,376,30,902
ANiMAL - Easy Tiger (15),233,729,365,351,32,960
ANiMAL - Easy Tiger (16),279,800,423,391,46,1080
ANiMAL - Easy Tiger (17),217,456,244,153,45,674
ANiMAL - Easy Tiger (18),317,539,215,253,127,857
ANiMAL - Easy Tiger (19),163,752,208,306,272,932
ANiMAL - Easy Tiger (20),388,754,251,338,240,1149
ANiMAL - Easy Tiger (21),405,661,218,281,215,1051
ANiMAL - Easy Tiger (22),197,663,209,305,246,864
ANiMAL - Easy Tiger (23),178,810,221,208,356,982
ANiMAL - Easy Tiger (24),373,809,223,301,285,1176
ANiMAL - Easy Tiger (25),278,740,241,143,344,1004
ANiMAL - Easy Tiger (26),488,858,218,169,412,1344
ANiMAL - Easy Tiger (27),322,586,208,160,223,908
ANiMAL - Easy Tiger (28),305,640,257,260,140,949
ANiMAL - Easy Tiger (29),241,608,391,183,41,847
ANiMAL - Easy Tiger (30),266,749,393,329,48,1019
ANiMAL - Easy Tiger (31),317,671,380,261,41,987
ANiMAL - Easy Tiger (32),273,697,236,256,237,963
ANiMAL - Easy Tiger (33),138,667,228,271,185,808
ANiMAL - Easy Tiger (34),254,721,409,330,28,978
ANiMAL - Easy Tiger (35),205,698,382,272,43,905
ANiMAL - Easy Tiger (36),168,566,313,210,34,735
ANiMAL - Easy Tiger (37),153,565,338,222,37,715
ANiMAL - Easy Tiger (38),284,366,195,129,63,650
ANiMAL - Easy Tiger (39),141,533,181,173,236,675
ANiMAL - Easy Tiger (40),220,670,175,254,290,888
ANiMAL - Easy Tiger (41),145,625,248,283,113,768
ANiMAL - Easy Tiger (42),168,746,219,323,240,922
ANiMAL - Easy Tiger (43),202,881,223,348,317,1076
ANiMAL - Easy Tiger (44),200,853,214,208,413,1043
ANiMAL - Easy Tiger (45),224,618,239,153,224,837
ANiMAL - Easy Tiger (46),251,833,224,222,367,1082
ANiMAL - Easy Tiger (47),282,759,212,239,324,1041
ANiMAL - Easy Tiger (48),167,676,219,145,290,846
ANiMAL - Easy Tiger (49),113,1070,234,498,268,1184
ANiMAL - Easy Tiger (50),128,950,221,413,309,1076
ANiMAL - Easy Tiger (51),143,967,225,478,231,1119
ANiMAL - Easy Tiger (52),125,913,212,362,301,1033
ANiMAL - Easy Tiger (53),128,1158,248,453,370,1285
ANiMAL - Easy Tiger (54),90,1004,218,531,208,1088
ANiMAL - Easy Tiger (55),131,894,209,370,326,1019
ANiMAL - Easy Tiger (56),143,1117,222,482,304,1248
ANiMAL - Easy Tiger (57),116,708,143,246,259,825
ANiMAL - Easy Tiger (58),135,507,41,35,422,645
ANiMAL - Easy Tiger (59),112,689,219,272,228,788
ANiMAL - Easy Tiger (60),112,851,209,305,340,961
ANiMAL - Easy Tiger (61),126,855,241,322,342,986
ANiMAL - Easy Tiger (62),90,789,228,281,313,873
ANiMAL - Easy Tiger (63),98,708,196,107,430,800
ANiMAL - Easy Tiger (64),242,589,251,217,130,815
ANiMAL - Easy Tiger (65),392,767,377,361,63,1165
ANiMAL - Easy Tiger (66),313,771,408,293,78,1097
ANiMAL - Easy Tiger (67),280,655,405,194,72,938
ANiMAL - Easy Tiger (68),316,560,262,263,48,866
ANiMAL - Rockshow (0),0,131,42,79,0,131
ANiMAL - Rockshow (1),0,844,296,525,0,844
ANiMAL - Rockshow (2),0,861,283,519,41,861
ANiMAL - Rockshow (3),0,842,317,467,70,842
ANiMAL - Rockshow (4),187,762,286,391,40,949
ANiMAL - Rockshow (5),175,749,301,419,57,920
ANiMAL - Rockshow (6),213,745,286,424,37,961
ANiMAL - Rockshow (7),154,751,302,439,46,901
ANiMAL - Rockshow (8),171,774,329,380,65,942
ANiMAL - Rockshow (9),274,695,288,387,29,970
ANiMAL - Rockshow (10),260,641,261,369,23,897
ANiMAL - Rockshow (11),17,725,263,407,79,741
ANiMAL - Rockshow (12),93,978,352,489,162,1068
ANiMAL - Rockshow (13),99,864,346,446,106,967
ANiMAL - Rockshow (14),53,894,331,385,132,946
ANiMAL - Rockshow (15),342,798,292,385,149,1139
ANiMAL - Rockshow (16),190,787,285,357,165,975
ANiMAL - Rockshow (17),249,927,358,397,161,1171
ANiMAL - Rockshow (18),226,785,274,386,127,1005
ANiMAL - Rockshow (19),192,864,324,343,156,1051
ANiMAL - Rockshow (20),333,881,301,400,158,1207
ANiMAL - Rockshow (21),219,589,203,333,68,804
ANiMAL - Rockshow (22),45,814,349,350,129,863
ANiMAL - Rockshow (23),72,992,338,530,154,1058
ANiMAL - Rockshow (24),43,953,310,499,145,992
ANiMAL - Rockshow (25),11,629,59,370,182,641
ANiMAL - Rockshow (26),280,386,2,186,198,663
ANiMAL - Rockshow (27),272,297,2,153,142,571
ANiMAL - Rockshow (28),31,819,285,310,226,850
ANiMAL - Rockshow (29),0,725,300,232,204,725
ANiMAL - Rockshow (30),0,542,346,114,109,542
ANiMAL - Rockshow (31),0,1034,400,384,292,1034
ANiMAL - Rockshow (32),0,819,341,267,223,819
ANiMAL - Rockshow (33),0,495,316,87,110,495
ANiMAL - Rockshow (34),21,886,382,272,229,909
ANiMAL - Rockshow (35),88,639,143,341,154,725
ANiMAL - Rockshow (36),125,454,2,351,101,578
ANiMAL - Rockshow (37),65,455,2,357,97,520
ANiMAL - Rockshow (38),43,632,147,374,94,676
ANiMAL - Rockshow (39),77,955,336,480,78,1039
ANiMAL - Rockshow (40),122,843,333,408,79,955
ANiMAL - Rockshow (41),124,911,343,436,141,1041
ANiMAL - Rockshow (42),438,849,291,440,93,1293
ANiMAL - Rockshow (43),210,823,307,430,130,1028
ANiMAL - Rockshow (44),355,952,388,427,141,1308
ANiMAL - Rockshow (45),436,885,291,480,90,1310
ANiMAL - Rockshow (46),336,940,362,449,118,1281
ANiMAL - Rockshow (47),415,813,302,422,97,1237
ANiMAL - Rockshow (48),390,704,244,357,92,1095
ANiMAL - Rockshow (49),55,721,231,390,105,776
ANiMAL - Rockshow (50),88,606,314,218,79,694
ANiMAL - Rockshow (51),0,127,1,118,9,127
ANiMAL - Rockshow (52),0,143,0,143,0,143
ANiMAL - Rockshow (53),0,161,0,161,0,161
ANiMAL - Rockshow (54),0,63,0,63,0,63
Actions - Devil's Words (0),0,373,210,54,118,373
Actions - Devil's Words (1),0,793,339,147,314,793
Actions - Devil's Words (2),0,838,346,173,323,838
Actions - Devil's Words (3),0,983,433,183,344,983
Actions - Devil's Words (4),0,992,361,285,344,992
Actions - Devil's Words (5),0,970,370,226,353,970
Actions - Devil's Words (6),0,867,281,236,343,867
Actions - Devil's Words (7),100,632,247,217,184,732
Actions - Devil's Words (8),313,845,477,175,185,1150
Actions - Devil's Words (9),396,750,492,118,156,1147
Actions - Devil's Words (10),217,800,451,144,238,1018
Actions - Devil's Words (11),540,822,286,240,288,1355
Actions - Devil's Words (12),679,687,313,210,146,1361
Actions - Devil's Words (13),370,811,254,401,188,1172
Actions - Devil's Words (14),434,1597,341,849,322,2039
Actions - Devil's Words (15),64,1667,324,1122,213,1729
Actions - Devil's Words (16),974,986,364,306,340,1968
Actions - Devil's Words (17),479,942,348,279,352,1436
Actions - Devil's Words (18),1087,996,426,224,359,2074
Actions - Devil's Words (19),642,845,294,229,344,1506
Actions - Devil's Words (20),890,955,292,301,371,1844
Actions - Devil's Words (21),810,936,339,194,362,1767
Actions - Devil's Words (22),590,927,324,260,367,1511
Actions - Devil's Words (23),854,1122,282,468,356,1974
Actions - Devil's Words (24),294,612,275,175,167,906
Actions - Devil's Words (25),485,969,440,151,390,1457
Actions - Devil's Words (26),737,883,512,165,190,1638
Actions - Devil's Words (27),457,1072,423,299,302,1530
Actions - Devil's Words (28),451,918,266,175,499,1378
Actions - Devil's Words (29),565,1029,300,205,490,1592
Actions - Devil's Words (30),707,1179,268,521,365,1873
Actions - Devil's Words (31),510,1089,377,255,499,1596
Actions - Devil's Words (32),187,1189,463,260,475,1379
Actions - Devil's Words (33),517,1024,335,209,472,1562
Actions - Devil's Words (34),697,853,303,312,269,1562
Actions - Devil's Words (35),1096,1049,312,397,335,2153
Actions - Devil's Words (36),817,824,340,213,314,1636
Actions - Devil's Words (37),713,945,360,244,353,1645
Actions - Devil's Words (38),831,953,307,312,324,1784
Actions - Devil's Words (39),743,877,321,215,377,1631
Actions - Devil's Words (40),1053,914,326,256,318,1981
Actions - Devil's Words (41),474,277,85,52,155,772
Actions - Devil's Words (42),993,1601,340,891,203,2591
Actions - Devil's Words (43),1100,1303,454,654,203,2406
Actions - Devil's Words (44),654,1699,350,1211,190,2350
Actions - Devil's Words (45),1345,1066,369,486,183,2391
Actions - Devil's Words (46),439,1495,343,886,238,1922
Actions - Devil's Words (47),386,1419,324,990,170,1802
Actions - Devil's Words (48),446,860,209,516,149,1309
Actions - Devil's Words (49),485,172,0,0,172,661
Actions - Devil's Words (50),709,178,0,0,178,881
Actions - Devil's Words (51),430,498,49,145,300,913
Actions - Devil's Words (52),749,432,30,214,193,1166
Actions - Devil's Words (53),791,451,27,215,205,1230
Actions - Devil's Words (54),644,374,200,62,114,1020
Actions - Devil's Words (55),878,1057,410,316,353,1939
Actions - Devil's Words (56),517,945,357,240,344,1436
Actions - Devil's Words (57),1066,1030,398,242,379,2098
Actions - Devil's Words (58),610,844,336,188,351,1445
Actions - Devil's Words (59),821,964,290,305,364,1795
Actions - Devil's Words (60),988,941,285,246,371,1938
Actions - Devil's Words (61),747,784,281,174,358,1538
Actions - Devil's Words (62),586,999,322,288,369,1605
Actions - Devil's Words (63),715,1026,352,287,388,1746
Actions - Devil's Words (64),261,774,147,311,310,1042
Actions - Devil's Words (65),83,65,3,15,52,140
Actions - One Minute Smile (0),151,0,0,0,0,151
Actions - One Minute Smile (1),249,743,251,44,465,1001
Actions - One Minute Smile (2),257,952,252,121,586,1200
Actions - One Minute Smile (3),314,763,236,111,465,1068
Actions - One Minute Smile (4),298,849,255,61,545,1135
Actions - One Minute Smile (5),294,811,260,75,466,1108
Actions - One Minute Smile (6),308,862,269,134,475,1162
Actions - One Minute Smile (7),290,762,280,146,327,1042
Actions - One Minute Smile (8),417,716,237,98,334,1139
Actions - One Minute Smile (9),394,605,201,88,312,993
Actions - One Minute Smile (10),479,669,230,109,350,1137
Actions - One Minute Smile (11),491,808,286,88,448,1293
Actions - One Minute Smile (12),538,766,227,130,429,1318
Actions - One Minute Smile (13),500,746,234,139,383,1245
Actions - One Minute Smile (14),502,825,272,96,444,1332
Actions - One Minute Smile (15),494,807,227,109,470,1311
Actions - One Minute Smile (16),585,817,237,119,465,1415
Actions - One Minute Smile (17),579,864,216,141,484,1439
Actions - One Minute Smile (18),588,843,378,35,424,1431
Actions - One Minute Smile (19),63,666,255,109,327,733
Actions - One Minute Smile (20),294,1001,264,59,682,1304
Actions - One Minute Smile (21),287,924,267,81,555,1210
Actions - One Minute Smile (22),330,950,292,128,503,1269
Actions - One Minute Smile (23),392,975,274,91,594,1373
Actions - One Minute Smile (24),459,1005,234,77,684,1455
Actions - One Minute Smile (25),470,960,313,146,509,1426
Actions - One Minute Smile (26),411,853,311,172,352,1268
Actions - One Minute Smile (27),365,620,212,110,299,979
Actions - One Minute Smile (28),456,817,285,181,316,1230
Actions - One Minute Smile (29),434,646,187,143,320,1070
Actions - One Minute Smile (30),450,749,262,118,369,1203
Actions - One Minute Smile (31),563,848,200,139,499,1409
Actions - One Minute Smile (32),503,807,233,127,439,1300
Actions - One Minute Smile (33),512,848,230,148,471,1362
Actions - One Minute Smile (34),447,750,231,88,414,1194
Actions - One Minute Smile (35),596,863,234,149,491,1474
Actions - One Minute Smile (36),574,794,229,94,475,1371
Actions - One Minute Smile (37),716,870,236,40,609,1584
Actions - One Minute Smile (38),220,851,164,8,678,1076
Actions - One Minute Smile (39),365,669,213,23,436,1050
Actions - One Minute Smile (40),299,686,161,24,498,950
Actions - One Minute Smile (41),275,693,165,50,473,975
Actions - One Minute Smile (42),357,794,246,90,456,1156
Actions - One Minute Smile (43),455,693,228,32,451,1141
Actions - One Minute Smile (44),422,672,192,22,446,1083
Actions - One Minute Smile (45),365,782,209,103,463,1122
Actions - One Minute Smile (46),284,185,112,16,60,471
Actions - One Minute Smile (47),385,828,239,134,430,1220
Actions - One Minute Smile (48),341,823,248,148,440,1175
Actions - One Minute Smile (49),516,717,204,94,404,1239
Actions - One Minute Smile (50),467,609,201,65,340,1065
Actions - One Minute Smile (51),541,731,289,86,351,1284
Actions - One Minute Smile (52),579,849,352,66,427,1428
Actions - One Minute Smile (53),452,516,77,30,407,966
Actions - One Minute Smile (54),0,20,1,1,18,20
Actions - South Of The Water (0),18,154,0,0,154,173
Actions - South Of The Water (1),50,130,0,0,130,179
Actions - South Of The Water (2),40,157,0,0,157,198
Actions - South Of The Water (3),52,230,0,0,230,288
Actions - South Of The Water (4),52,66,0,0,66,116
Actions - South Of The Water (5),34,629,76,433,131,663
Actions - South Of The Water (6),43,396,95,203,112,436
Actions - South Of The Water (7),54,423,103,179,146,472
Actions - South Of The Water (8),46,797,107,558,123,841
Actions - South Of The Water (9),46,464,97,216,152,510
Actions - South Of The Water (10),58,674,94,432,138,735
Actions - South Of The Water (11),15,829,188,481,120,844
Actions - South Of The Water (12),0,469,46,285,141,469
Actions - South Of The Water (13),94,617,179,188,256,703
Actions - South Of The Water (14),297,1203,220,603,348,1499
Actions - South Of The Water (15),272,1398,247,754,441,1669
Actions - South Of The Water (16),301,1344,199,631,518,1653
Actions - South Of The Water (17),189,1406,207,831,382,1597
Actions - South Of The Water (18),243,844,202,271,365,1090
Actions - South Of The Water (19),163,997,201,384,421,1156
Actions - South Of The Water (20),204,1699,169,1131,445,1914
Actions - South Of The Water (21),293,1690,183,1119,468,1966
Actions - South Of The Water (22),214,1537,177,860,470,1742
Actions - South Of The Water (23),66,533,104,321,114,599
Actions - South Of The Water (24),38,704,104,484,113,747
Actions - South Of The Water (25),72,733,113,476,112,804
Actions - South Of The Water (26),108,511,78,323,113,620
Actions - South Of The Water (27),183,760,123,507,115,943
Actions - South Of The Water (28),49,552,111,362,113,597
Actions - South Of The Water (29),257,935,161,417,373,1195
Actions - South Of The Water (30),247,1948,190,1301,401,2203
Actions - South Of The Water (31),327,1546,194,834,484,1883
Actions - South Of The Water (32),240,1478,216,811,431,1720
Actions - South Of The Water (33),200,1531,201,857,446,1742
Actions - South Of The Water (34),284,1036,224,366,408,1327
Actions - South Of The Water (35),225,2248,202,1601,407,2444
Actions - South Of The Water (36),220,1410,174,826,500,1618
Actions - South Of The Water (37),252,1371,155,812,408,1615
Actions - South Of The Water (38),182,1661,177,1102,354,1847
Actions - South Of The Water (39),352,1403,183,952,273,1758
Actions - South Of The Water (40),330,1412,171,928,297,1737
Actions - South Of The Water (41),84,1613,164,1206,259,1699
Actions - South Of The Water (42),241,1298,178,828,281,1538
Actions - South Of The Water (43),157,1355,153,922,310,1516
Actions - South Of The Water (44),305,1440,138,1043,273,1734
Actions - South Of The Water (45),338,1378,129,864,359,1727
Actions - South Of The Water (46),55,1070,32,772,294,1129
Actions - South Of The Water (47),4,842,56,675,102,846
Actions - South Of The Water (48),181,1123,176,685,330,1297
Actions - South Of The Water (49),287,1804,215,1222,373,2105
Actions - South Of The Water (50),310,1731,179,1218,373,2036
Actions - South Of The Water (51),266,1452,190,841,430,1719
Actions - South Of The Water (52),192,1236,208,620,412,1429
Actions - South Of The Water (53),277,979,233,343,416,1216
Actions - South Of The Water (54),232,1698,243,1091,386,1934
Actions - South Of The Water (55),208,1660,182,994,455,1865
Actions - South Of The Water (56),247,1206,89,805,288,1461
Actions - South Of The Water (57),45,95,0,93,3,140
Actions - South Of The Water (58),12,0,0,0,0,12
Aimee Norwich - Child (0),0,264,264,0,0,264
Aimee Norwich - Child (1),0,388,388,0,0,388
Aimee Norwich - Child (2),0,379,379,0,0,379
Aimee Norwich - Child (3),0,403,403,0,0,403
Aimee Norwich - Child (4),0,954,365,488,119,954
Aimee Norwich - Child (5),0,1682,377,1144,100,1682
Aimee Norwich - Child (6),0,1511,332,1108,110,1511
Aimee Norwich - Child (7),0,1653,343,1166,144,1653
Aimee Norwich - Child (8),0,1382,153,1136,116,1383
Aimee Norwich - Child (9),183,1532,342,1058,154,1639
Aimee Norwich - Child (10),197,1629,379,1119,122,1820
Aimee Norwich - Child (11),135,1608,307,1144,156,1743
Aimee Norwich - Child (12),111,1552,359,1021,131,1661
Aimee Norwich - Child (13),150,1651,430,1080,119,1788
Aimee Norwich - Child (14),142,1554,349,1048,121,1693
Aimee Norwich - Child (15),168,1524,334,1082,135,1696
Aimee Norwich - Child (16),123,1760,316,1219,131,1883
Aimee Norwich - Child (17),127,1605,268,1224,116,1736
Aimee Norwich - Child (18),110,1468,322,1061,121,1586
Aimee Norwich - Child (19),198,1504,299,1065,130,1694
Aimee Norwich - Child (20),132,1586,320,1118,144,1721
Aimee Norwich - Child (21),124,1643,350,1253,142,1766
Aimee Norwich - Child (22),150,1601,389,1028,160,1762
Aimee Norwich - Child (23),166,1699,392,1114,152,1867
Aimee Norwich - Child (24),131,1643,402,1139,120,1765
Aimee Norwich - Child (25),163,1596,388,1070,149,1758
Aimee Norwich - Child (26),123,1736,391,1121,207,1849
Aimee Norwich - Child (27),127,1709,346,1090,230,1839
Aimee Norwich - Child (28),186,1617,322,1120,190,1800
Aimee Norwich - Child (29),152,1549,278,1031,253,1703
Aimee Norwich - Child (30),137,1634,325,1078,264,1759
Aimee Norwich - Child (31),183,1710,266,1195,270,1921
Aimee Norwich - Child (32),189,1735,388,1109,200,1930
Aimee Norwich - Child (33),125,1819,413,1143,257,1938
Aimee Norwich - Child (34),158,1575,256,1144,201,1719
Aimee Norwich - Child (35),203,1736,203,1237,284,1921
Aimee Norwich - Child (36),151,1681,378,1048,225,1810
Aimee Norwich - Child (37),161,1596,292,1102,190,1765
Aimee Norwich - Child (38),171,1667,345,1056,308,1837
Aimee Norwich - Child (39),156,1995,370,1229,333,2155
Aimee Norwich - Child (40),134,1906,368,1138,353,2045
Aimee Norwich - Child (41),12,1834,427,1101,328,1846
Aimee Norwich - Child (42),9,1773,341,1083,435,1782
Aimee Norwich - Child (43),12,2130,489,1149,496,2142
Aimee Norwich - Child (44),6,2032,520,1107,401,2039
Aimee Norwich - Child (45),2,1843,362,1052,446,1844
Aimee Norwich - Child (46),0,1674,343,1115,241,1674
Aimee Norwich - Child (47),0,1964,388,1110,433,1964
Aimee Norwich - Child (48),0,1720,356,1130,264,1720
Aimee Norwich - Child (49),0,1717,360,1097,284,1717
Aimee Norwich - Child (50),0,1816,453,1076,278,1816
Aimee Norwich - Child (51),0,1890,313,1140,369,1890
Aimee Norwich - Child (52),0,1867,379,1137,341,1867
Aimee Norwich - Child (53),0,1923,356,1195,378,1923
Aimee Norwich - Child (54),0,1392,0,1380,15,1392
Aimee Norwich - Child (55),0,928,0,928,0,928
Aimee Norwich - Child (56),0,273,0,273,0,273
Aimee Norwich - Child (57),0,46,0,46,0,46
Aimee Norwich - Child (58),0,4,0,4,0,4
Aimee Norwich - Child (59),0,0,0,0,0,0
